lemma	past	morphosyn	human_rating	lemma_orig	past_orig
bæst	bæstɪd	V;PST;1;SG	NA	b ɑː s t	b ɑː s t ɪ d
bæst	bæst	V;PST;1;SG	NA	b ɑː s t	b ɑː s t
bɪnd	bɪndɪd	V;PST;1;SG	NA	b ɪ n d	b ɪ n d ɪ d
bɪnd	bɪnt	V;PST;1;SG	NA	b ɪ n d	b ɪ n t
blY	blYd	V;PST;1;SG	NA	b l aɪ	b l aɪ d
blY	blu	V;PST;1;SG	NA	b l aɪ	b l uː
blek	blekt	V;PST;1;SG	NA	b l eɪ k	b l eɪ k t
blek	blek	V;PST;1;SG	NA	b l eɪ k	b l eɪ k
bɹʌst	bɹʌstɪd	V;PST;1;SG	NA	b r ʌ s t	b r ʌ s t ɪ d
bɹʌst	bɹʌst	V;PST;1;SG	NA	b r ʌ s t	b r ʌ s t
dɹiv	dɹivd	V;PST;1;SG	NA	d r iː v	d r iː v d
dɹiv	dɹɛft	V;PST;1;SG	NA	d r iː v	d r ɛ f t
Jɪd	Jɪdɪd	V;PST;1;SG	NA	d ʒ ɪ d	d ʒ ɪ d ɪ d
Jɪd	Jɪd	V;PST;1;SG	NA	d ʒ ɪ d	d ʒ ɪ d
əlYz	əlYzd	V;PST;1;SG	NA	ə l aɪ z	ə l aɪ z d
əlYz	əloz	V;PST;1;SG	NA	ə l aɪ z	ə l əʊ z
fɛt	fɛtɪd	V;PST;1;SG	NA	f ɛ t	f ɛ t ɪ d
fɛt	fɛt	V;PST;1;SG	NA	f ɛ t	f ɛ t
fɪld	fɪldɪd	V;PST;1;SG	NA	f ɪ l d	f ɪ l d ɪ d
fɪld	fɪlt	V;PST;1;SG	NA	f ɪ l d	f ɪ l t
fɪŋ	fɪŋd	V;PST;1;SG	NA	f ɪ ŋ	f ɪ ŋ d
fɪŋ	fʌŋ	V;PST;1;SG	NA	f ɪ ŋ	f ʌ ŋ
flɪŋk	flɪŋkt	V;PST;1;SG	NA	f l ɪ ŋ k	f l ɪ ŋ k t
flɪŋk	flʌŋk	V;PST;1;SG	NA	f l ɪ ŋ k	f l ʌ ŋ k
fɹYv	fɹYvd	V;PST;1;SG	NA	f r aɪ v	f r aɪ v d
fɹYv	fɹov	V;PST;1;SG	NA	f r aɪ v	f r əʊ v
fɹim	fɹimd	V;PST;1;SG	NA	f r iː m	f r iː m d
fɹim	fɹɛmpt	V;PST;1;SG	NA	f r iː m	f r ɛ m p t
fɹɪŋk	fɹɪŋkt	V;PST;1;SG	NA	f r ɪ ŋ k	f r ɪ ŋ k t
fɹɪŋk	fɹæŋk	V;PST;1;SG	NA	f r ɪ ŋ k	f r a ŋ k
gæst	gæstɪd	V;PST;1;SG	NA	ɡ ɑː s t	ɡ ɑː s t ɪ d
gæst	gæst	V;PST;1;SG	NA	ɡ ɑː s t	ɡ ɑː s t
gek	gekt	V;PST;1;SG	NA	ɡ eɪ k	ɡ eɪ k t
gek	gʊk	V;PST;1;SG	NA	ɡ eɪ k	ɡ ʊ k
glɪt	glɪtɪd	V;PST;1;SG	NA	ɡ l ɪ t	ɡ l ɪ t ɪ d
glɪt	glɪt	V;PST;1;SG	NA	ɡ l ɪ t	ɡ l ɪ t
gɹY	gɹYd	V;PST;1;SG	NA	ɡ r aɪ	ɡ r aɪ d
gɹY	gɹod	V;PST;1;SG	NA	ɡ r aɪ	ɡ r əʊ d
gɹYb	gɹYbd	V;PST;1;SG	NA	ɡ r aɪ b	ɡ r aɪ b d
gɹYb	gɹob	V;PST;1;SG	NA	ɡ r aɪ b	ɡ r əʊ b
gɹYv	gɹYvd	V;PST;1;SG	NA	ɡ r aɪ v	ɡ r aɪ v d
gɹYv	gɹov	V;PST;1;SG	NA	ɡ r aɪ v	ɡ r əʊ v
gɹek	gɹekt	V;PST;1;SG	NA	ɡ r eɪ k	ɡ r eɪ k t
gɹek	gɹek	V;PST;1;SG	NA	ɡ r eɪ k	ɡ r eɪ k
gɹɛd	gɹɛdɪd	V;PST;1;SG	NA	ɡ r ɛ d	ɡ r ɛ d ɪ d
gɹɛd	gɹɛd	V;PST;1;SG	NA	ɡ r ɛ d	ɡ r ɛ d
gɹim	gɹimd	V;PST;1;SG	NA	ɡ r iː m	ɡ r iː m d
gɹim	gɹɛmpt	V;PST;1;SG	NA	ɡ r iː m	ɡ r ɛ m p t
gɹip	gɹipt	V;PST;1;SG	NA	ɡ r iː p	ɡ r iː p t
gɹip	gɹɛpt	V;PST;1;SG	NA	ɡ r iː p	ɡ r ɛ p t
gɹɪŋ	gɹɪŋd	V;PST;1;SG	NA	ɡ r ɪ ŋ	ɡ r ɪ ŋ d
gɹɪŋ	gɹɔt	V;PST;1;SG	NA	ɡ r ɪ ŋ	ɡ r ɔː t
hYnd	hYndɪd	V;PST;1;SG	NA	h aɪ n d	h aɪ n d ɪ d
hYnd	hWnd	V;PST;1;SG	NA	h aɪ n d	h aʊ n d
hɛt	hɛtɪd	V;PST;1;SG	NA	h ɛ t	h ɛ t ɪ d
hɛt	hɛt	V;PST;1;SG	NA	h ɛ t	h ɛ t
hwɛl	hwɛld	V;PST;1;SG	NA	h w ɛ l	h w ɛ l d
hwɛl	hwɛlt	V;PST;1;SG	NA	h w ɛ l	h w ɛ l t
ɪnd	ɪndɪd	V;PST;1;SG	NA	ɪ n d	ɪ n d ɪ d
ɪnd	ɪnt	V;PST;1;SG	NA	ɪ n d	ɪ n t
kɛnd	kɛndɪd	V;PST;1;SG	NA	k ɛ n d	k ɛ n d ɪ d
kɛnd	kɛnt	V;PST;1;SG	NA	k ɛ n d	k ɛ n t
kɹɪŋk	kɹɪŋkt	V;PST;1;SG	NA	k r ɪ ŋ k	k r ɪ ŋ k t
kɹɪŋk	kɹʌŋk	V;PST;1;SG	NA	k r ɪ ŋ k	k r ʌ ŋ k
lYd	lYdɪd	V;PST;1;SG	NA	l aɪ d	l aɪ d ɪ d
lYd	lɪd	V;PST;1;SG	NA	l aɪ d	l ɪ d
lYnd	lYndɪd	V;PST;1;SG	NA	l aɪ n d	l aɪ n d ɪ d
lYnd	lɪnt	V;PST;1;SG	NA	l aɪ n d	l ɪ n t
lɪnd	lɪndɪd	V;PST;1;SG	NA	l ɪ n d	l ɪ n d ɪ d
lɪnd	lɪnt	V;PST;1;SG	NA	l ɪ n d	l ɪ n t
miv	mivd	V;PST;1;SG	NA	m iː v	m iː v d
miv	mɛft	V;PST;1;SG	NA	m iː v	m ɛ f t
nɛnd	nɛndɪd	V;PST;1;SG	NA	n ɛ n d	n ɛ n d ɪ d
nɛnd	nɛnt	V;PST;1;SG	NA	n ɛ n d	n ɛ n t
pɪnd	pɪndɪd	V;PST;1;SG	NA	p ɪ n d	p ɪ n d ɪ d
pɪnd	pɪnt	V;PST;1;SG	NA	p ɪ n d	p ɪ n t
plɛt	plɛtɪd	V;PST;1;SG	NA	p l ɛ t	p l ɛ t ɪ d
plɛt	plɛt	V;PST;1;SG	NA	p l ɛ t	p l ɛ t
plɪd	plɪdɪd	V;PST;1;SG	NA	p l ɪ d	p l ɪ d ɪ d
plɪd	plɪd	V;PST;1;SG	NA	p l ɪ d	p l ɪ d
plɪnd	plɪndɪd	V;PST;1;SG	NA	p l ɪ n d	p l ɪ n d ɪ d
plɪnd	plɪnt	V;PST;1;SG	NA	p l ɪ n d	p l ɪ n t
pɹek	pɹekt	V;PST;1;SG	NA	p r eɪ k	p r eɪ k t
pɹek	pɹek	V;PST;1;SG	NA	p r eɪ k	p r eɪ k
pɹo	pɹod	V;PST;1;SG	NA	p r əʊ	p r əʊ d
pɹo	pɹu	V;PST;1;SG	NA	p r əʊ	p r uː
pɹɛd	pɹɛdɪd	V;PST;1;SG	NA	p r ɛ d	p r ɛ d ɪ d
pɹɛd	pɹɛd	V;PST;1;SG	NA	p r ɛ d	p r ɛ d
pɹɛnd	pɹɛndɪd	V;PST;1;SG	NA	p r ɛ n d	p r ɛ n d ɪ d
